product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,2754,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2756,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2758,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2760,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2761,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2762,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2763,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Convex,Knob Top,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2765,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2767,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2768,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2770,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2772,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2773,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2774,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2776,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2778,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2780,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2781,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2782,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2784,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2786,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2788,19,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2790,19,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2791,19,NULL,3 ft. H x 8 ft. W,NULL,NULL,Convex,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2794,19,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2795,19,NULL,4 ft. H x 8 ft. W,NULL,NULL,Convex,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2798,19,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Convex,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2799,19,NULL,5 ft. H x 8 ft. W,NULL,NULL,Convex,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2800,19,NULL,6 ft. H x 8 ft. W,NULL,NULL,Convex,French Gothic,Cedar Wood,2 1/2 in.,Cedar Wood,NULL
