product_details_id,original_product_id,family_category_id,product_id,size1,size2,size3,style,specialty,material,spacing,color,coating
NULL,2421,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2422,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2423,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2424,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2425,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2426,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2427,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Straight on Top,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2428,17,NULL,3 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2429,17,NULL,3 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2430,17,NULL,4 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2431,17,NULL,4 1/2 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2432,17,NULL,5 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2433,17,NULL,6 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2434,17,NULL,7 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
NULL,2435,17,NULL,8 ft. H x 8 ft. W,NULL,NULL,Concave,French Gothic,100% Cedar Wood,2 1/2 in.,Cedar Wood,NULL
